num,class,chn,math,eng,phy,chem,politics,bio,history,geo,pe,total,gender
606,10,83,102,95.5,64.4,43.25,38.5,43.5,44.5,45.5,56,616.15,男
579,10,91.5,107,92.5,50.4,40,43.5,46,42,46.5,56,615.4,女
655,10,83.5,114,85.5,65.1,41.75,41,45,43,48.5,48,615.35,女
278,5,80.5,106,104.5,65.8,40.5,44.5,44.5,32.5,48.5,48,615.3,女
291,5,97.5,104,89.5,56.7,37.75,45.5,42,45,44.5,52,614.45,女
28,1,85,115,100,60.9,42.5,43.5,44.5,29,42,52,614.4,男
97,2,85.5,100,95,63.7,37.25,41.5,45,43,46.5,56,613.45,女
483,8,88,89,102,62.3,38,43.5,44.5,45.5,48.5,52,613.3,女
246,4,91.5,103,85.5,62.3,35.5,43,48,37.5,47,60,613.3,男
106,2,87.5,109,95.5,59.5,35.25,43,42,41.5,48,52,613.25,男
231,4,86.5,111,109,53.9,30.75,46,41,39,48,48,613.15,男
146,3,87,112,93.5,65.8,32.75,41,41,36,44,60,613.05,女
292,5,82,108,105.5,56.7,37,37,44,43.5,47,52,612.7,男
190,3,97,98,94.5,50.4,38,49,46,40,47.5,52,612.4,女
178,3,85.5,102,111,59.5,30.25,45.5,40.5,36,46,56,612.25,女
167,3,86,108,89,60.2,35,48,43.5,42.5,44,56,612.2,男
660,3,93.5,107,93.5,56.7,27.25,44,46,37.5,46.5,60,611.95,女
132,3,86,96,104.5,61.6,36.5,44,47,34,46,56,611.6,女
177,3,91.5,98,101,58.1,33.75,47,45,36,45,56,611.35,女
180,3,90.5,108,84.5,59.5,35.25,47,43,38.5,45,60,611.25,男
142,3,81.5,112,100.5,56.7,32.25,44.5,46,38,43.5,56,610.95,女
422,7,74.5,98,104,63.7,40,45,43,39,47.5,56,610.7,男
281,5,88.5,97,86,63.7,44.75,44,41,39.5,46,60,610.45,女
256,4,88.5,99,108.5,58.8,31,42.5,44.5,42,43,52,609.8,女
486,8,83.5,105,109,49.7,35.5,41.5,46.5,41,46,52,609.7,女
4014,2,85,111,81,67.9,39,41.5,33,44,47,60,609.4,女
320,5,88.5,105,93.5,61.6,36.25,44.5,45.5,38.5,48,48,609.35,女
604,10,81,104,89,65.8,39,39.5,46.5,45,47.5,52,609.3,女
597,10,85.5,95,90,64.4,39.25,45,43,45.5,45.5,56,609.15,男
176,3,88.5,85,105,57.4,36,45.5,44.5,44,47,56,608.9,男
164,3,94.5,102,85.5,59.5,37.25,48,42,35.5,44.5,60,608.75,女
459,8,87.5,97,106.5,60.9,36.5,38.5,46,40.5,47,48,608.4,女
172,3,97.5,84,96.5,59.5,40.25,46,41,39.5,44,60,608.25,男
476,8,85,99,89,57.4,44.5,45,45.5,43,47,52,607.4,女
407,7,86,100,99.5,60.9,34,39,43.5,42.5,45.5,56,606.9,男
64,1,88.5,101,99,58.8,32.5,46,42.5,36,46,56,606.3,男
207,4,86,104,89.5,59.5,35,45.5,44.5,38.5,47.5,56,606,女
330,6,90,94,91,65.1,37,46.5,46.5,42,45.5,48,605.6,男
118,2,86,93,103,58.8,35.25,45.5,46,41.5,44.5,52,605.55,女
271,5,88,97,89.5,67.9,34.5,42.5,48,40,45.5,52,604.9,女
489,8,80.5,116,94.5,61.6,31.25,44.5,42,37,45,52,604.35,女
432,7,82,106,96,60.9,35.25,39,45,40,47,52,603.15,女
43,1,97,98,96.5,47.6,37,41,42,40.5,47,56,602.6,女
500,8,76,101,99,63,31.75,41.5,46,43,45,56,602.25,女
491,8,86.5,100,91.5,63,38.25,44,39.5,38.5,45,56,602.25,女
402,7,82.5,109,95.5,59.5,34.5,45,46.5,27.5,46,56,602,女
666,10,85.5,102,88,60.9,38.75,43,43,37.5,46.5,56,601.15,男
220,4,85.5,110,93,60.9,29.5,49,41,29,47,56,600.9,男
399,7,87,100,81.5,61.6,39.5,40.5,45.5,42.5,46.5,56,600.6,女
314,5,89,93,96.5,56,30.5,46,44,43,46,56,600,男
159,3,78.5,102,92.5,56,39.75,43.5,46,40,45.5,56,599.75,男
675,8,89.5,95,105,51.1,23,47.5,50,32.5,50,56,599.6,女
386,7,84.5,93,98.5,50.4,43,44.5,44.5,42.5,46.5,52,599.4,男
186,3,86,101,92,61.6,27.75,48,43,36,47.5,56,598.85,女
96,2,77.5,99,85,63.7,41.5,44,45.5,40,46,56,598.2,男
286,5,83.5,109,89.5,63.7,34.75,38.5,44.5,35.5,42.5,56,597.45,男
553,9,94,86,103.5,54.6,28.75,42.5,48,38.5,45,56,596.85,男
559,9,83.5,100,87,56,39.75,46,44.5,39.5,44.5,56,596.75,女
424,7,81.5,112,90,63,36.75,40.5,39,38.5,43.5,52,596.75,女
127,2,75,96,95.5,59.5,38.75,44.5,46,42,42.5,56,595.75,男
338,6,80,106,82.5,63.7,40,39,44,38,45,56,594.2,女
122,2,81,100,97.5,54.6,38.5,36,41,41.5,44,60,594.1,男
440,7,85,79,104.5,58.1,39.5,46.5,42.5,43,47.5,48,593.6,女
35,1,85,92,95.5,57.4,40.5,40.5,45.5,35.5,45.5,56,593.4,男
376,6,86.5,93,78.5,63.7,41.25,43.5,46.5,40,47.5,52,592.45,男
537,9,81.5,113,89,58.1,43,37,43.5,32.5,46,48,591.6,男
641,3,88.5,99,91.5,51.1,37,44.5,46,36.5,45.5,52,591.6,男
351,6,81.5,95,86.5,66.5,32,45,44.5,42.5,46,52,591.5,男
625,10,87,95,99,63.7,34.5,43.5,42.5,32.5,41.5,52,591.2,男
19,1,70,111,94,63.7,37.75,41.5,43,37.5,44,48,590.45,女
46,1,88,92,101.5,58.8,35.5,39.5,43,31.5,44.5,56,590.3,女
544,9,84,111,90.5,53.9,41,42,44,27,44.5,52,589.9,女
657,6,81,98,95.5,58.1,36.75,39,45.5,38,46,52,589.85,女
624,10,87.5,104,84.5,62.3,37,39,44,33,46,52,589.3,男
467,8,84,106,96,46.9,36.25,44.5,45,38,44.5,48,589.15,女
202,4,80,111,80.5,60.9,33.5,44,40.5,38.5,44,56,588.9,男
285,5,87.5,101,79,62.3,42,43,43.5,37,45.5,48,588.8,男
556,9,91,89,91,54.6,34.25,41.5,44,40,46.5,56,587.85,女
435,7,90,78,107.5,55.3,34,41.5,43,41.5,45,52,587.8,男
411,7,74.5,95,96,59.5,34.5,41.5,42,40.5,48,56,587.5,男
365,6,84.5,98,80.5,54.6,40.75,47,41.5,41.5,46.5,52,586.85,女
4,1,80.5,113,80,58.1,24.75,41,45.5,38.5,45.5,60,586.85,女
552,9,87.5,94,78,57.4,41,47.5,43.5,43,46.5,48,586.4,男
487,8,82,101,90,55.3,33,39,44,38,44,60,586.3,男
438,7,88.5,103,97.5,49.7,31,43.5,43,34.5,43,52,585.7,女
102,2,76,99,81.5,58.1,35.75,43.5,43,42.5,46,60,585.35,男
11,1,83,101,83,63,42.25,43,46.5,31,44,48,584.75,女
327,6,81.5,107,87.5,57.4,34.5,37.5,43.5,35,44.5,56,584.4,女
580,10,81.5,88,104.5,58.8,39.25,43.5,45,32.5,39,52,584.05,女
34,1,86.5,89,97,51.8,35.5,43.5,44,40.5,43.5,52,583.3,女
326,6,84,81,99.5,60.2,37,34.5,46.5,33,47.5,60,583.2,男
341,6,77.5,109,92,49,32.75,42.5,44.5,32,47.5,56,582.75,男
165,3,82,102,91.5,56,31.25,48,40.5,38.5,41,52,582.75,女
73,2,85.5,82,91.5,53.9,35,44.5,45.5,37,47.5,60,582.4,女
204,4,87,80,94,58.8,24,44.5,44.5,42,47.5,60,582.3,女
63,1,78.5,90,90.5,64.4,35.25,45.5,44.5,43,42.5,48,582.15,女
197,4,74.5,113,86,53.2,32.5,44,40,34,44.5,60,581.7,男
253,4,84.5,95,101,53.9,28,43,43,36.5,44.5,52,581.4,女
512,8,81,96,99.5,49.7,37,41.5,44.5,37,47,48,581.2,男
58,1,83,89,92,53.9,39.25,44,44.5,41,45.5,48,580.15,男
309,5,86.5,92,87.5,57.4,22.75,43,46,39.5,45.5,60,580.15,男
38,1,84.5,94,85,55.3,39.25,43.5,44,42,44.5,48,580.05,男
240,4,80.5,98,87.5,51.8,39.75,47.5,38,40.5,44.5,52,580.05,女
284,5,76,93,86.5,61.6,34.25,41,45,39.5,47,56,579.85,女
155,3,77.5,96,89.5,58.1,40.5,42,44,34,46,52,579.6,男
130,3,86,100,73,55.3,37,44,45.5,34.5,48,56,579.3,男
430,7,87.5,97,94.5,51.8,28,48,45.5,37.5,41.5,48,579.3,男
505,8,76.5,102,89,64.4,34.75,39.5,41.5,41.5,42,48,579.15,男
149,3,86,87,89,60.2,38.25,39.5,44,33,46,56,578.95,女
611,10,76.5,88,92.5,50.4,41.75,44,44,40.5,45,56,578.65,男
126,2,85,97,93,49,36,46,40.5,39.5,40.5,52,578.5,女
649,10,87,97,86.5,59.5,31.25,40,40,32.5,44,60,577.75,男
119,2,88.5,93,80,53.9,39.25,44.5,43.5,37,45.5,52,577.15,男
3,1,84.5,98,85,58.1,35,44,39.5,34,43,56,577.1,男
345,6,76,118,66,60.2,33.25,47,43,36.5,44.5,52,576.45,女
475,8,83.5,95,87,52.5,41.25,40.5,41,35,44,56,575.75,女
275,5,83.5,94,98.5,56,29.5,39.5,43.5,35.5,43.5,52,575.5,男
221,4,78.5,92,90.5,56,38.5,46,42.5,33.5,42,56,575.5,女
198,4,80.5,102,87.5,53.2,33.75,40,38.5,39.5,44.5,56,575.45,女
264,5,84,109,80,60.9,29,38,42.5,34,42,56,575.4,女
650,1,72,104,86,65.1,34.5,41,45,36,43.5,48,575.1,女
516,9,78,92,91.5,60.2,36.5,38,46,41.5,43,48,574.7,女
651,4,87.5,96,84,53.2,36.5,42.5,44.5,34,44,52,574.2,女
371,6,85.5,91,81.5,58.1,37.5,44.5,44.5,35,44.5,52,574.1,男
70,2,77.5,100,92,53.9,25.5,40.5,40.5,39,45,60,573.9,女
39,1,83,95,94.5,52.5,37.25,46,35.5,31,43,56,573.75,女
340,6,79.5,101,72.5,60.2,39,38.5,44,41,45.5,52,573.2,男
55,1,80.5,95,95.5,51.1,35.75,42,39,37.5,44.5,52,572.85,男
470,8,70.5,103,82,63,44.5,40.5,40,36,45,48,572.5,女
210,4,77,96,84.5,60.2,31.25,43,46.5,38,47.5,48,571.95,男
576,9,85,95,96,47.6,33.5,42,42,36.5,45.5,48,571.1,女
95,2,82.5,98,87.5,53.2,29.5,43,42.5,42,43.5,48,569.7,女
203,4,78.5,89,93,54.6,27.5,46.5,43,34.5,46.5,56,569.1,女
